,Country,Year,fertilityRate,lifeExpectancy,mortalityRate,popGrowth,ruralPopPct,gdpGrowthPct,gdpUS,gdpPerCapitaUS,gdpPerCapita ppp,gdp pppInternational,gni,gniPerCapita,gniPerCapita ppp,pop14under,pop15to24,pop25to64,pop65over,hivPct,povertyRatio,totalPop,Happiness Score
235,Jordan,2015,3.445,74.182,15.5,3.89613,9.744,2.3917,37517410281.6901,4096.0992700000015,9068.30428,83059337483.5488,26330261300.0,3890.0,8960.0,3333.811,1791.198,3793.548,348.0180000000001,0.0,0.0,9266.575,5.192
236,Jordan,2016,3.378,74.329,15.1,3.18585,9.494,2.00373,38654727746.4789,4087.93752,9057.94199,85650106002.8077,27228256700.0,3920.0,8990.0,3388.133,1845.606,3959.253,361.294,0.0,0.0,9554.286,5.303
237,Jordan,2017,3.309,74.476,14.6,2.57399,9.253,1.97002,40068308450.7042,4129.75166,9172.77701,88997520549.4049,28301999000.0,3980.0,9130.0,3413.911,1890.191,4108.875,372.866,0.0,0.0,9785.843,5.33599996566772
238,Laos,2015,2.758,66.335,51.5,1.32279,66.892,7.269589999999999,14390391264.2607,2159.43315,6146.31039,40958809583.8966,112037273509400.0,2000.0,5870.0,2265.853,1410.344,2806.3540000000007,258.613,0.3,0.0,6741.164000000002,4.876
239,Laos,2016,2.698,66.683,50.1,1.4064299999999998,66.264,7.02309,15805707154.2329,2338.69216,6557.0322700000015,44314738717.2357,123721297800600.0,2150.0,6280.0,2273.212,1410.8670000000004,2893.946,267.821,0.3,0.0,6845.846,4.876
240,Ivory Coast,2015,4.976,53.053,67.8,2.52916,50.556,8.84287,39633467835.725,1715.1055199999996,3461.9892,80001280465.989,18999881000000.0,1590.0,3360.0,9885.342,4771.327,7919.12,650.354,2.9,28.2,23226.143,3.655
241,Ivory Coast,2016,4.9110000000000005,53.582,66.0,2.51035,50.119,7.97175,35389998638.9371,1493.50606,3685.1645,87323359412.3817,20867597000000.0,1640.0,3670.0,10096.34,4904.334,8150.156999999998,671.883,2.8,0.0,23822.714,3.916
242,Ivory Coast,2017,4.846,54.102,64.2,2.49574,49.674,7.702089999999999,37353276059.2518,1537.50403,3944.75116,95836743282.3114,21476799000000.0,1580.0,3820.0,10304.484,5041.45,8397.376,694.16,2.8,0.0,24437.47,4.17999982833862
243,Mauritania,2015,4.7360000000000015,63.082,55.8,2.87231,48.911,1.4,4844223106.95469,1158.2563699999996,3846.46582,16087231707.3038,1510541289000.0,1230.0,3700.0,1639.052,786.613,1494.545,126.091,0.4,0.0,4046.301,4.436
244,Mauritania,2016,4.674,63.238,54.5,2.79806,48.038,2.0,4739298730.42216,1101.90163,3856.85758,16588413879.6178,1625030970300.0,1130.0,3760.0,1682.461,804.707,1546.333,130.032,0.4,0.0,4163.5329999999985,4.2010000000000005
245,Mauritania,2017,4.612,63.38399999999999,53.3,2.73296,47.176,3.5,5024708655.99147,1136.76459,3958.05976,17495352437.4999,1768517315000.0,1100.0,3900.0,1724.2720000000004,824.0210000000002,1600.2020000000002,134.075,0.3,0.0,4282.57,4.29199981689453
246,Malaysia,2015,2.056,75.143,6.5,1.62474,25.787,5.09152,296636282166.176,9655.13738,26717.46361,820844775804.006,1126401000000.0,10450.0,25980.0,7594.861999999999,5693.053000000001,15174.183,1808.864,0.4,,30270.962000000003,5.77
247,Malaysia,2016,2.037,75.3,6.6,1.49932,25.16,4.2234099999999986,296752886724.682,9515.19432,27731.43867,864867726625.3921,1196428000000.0,9860.0,26950.0,7584.104,5672.528,15524.621,1903.401,0.4,0.0,30684.654,6.005
248,Malaysia,2017,2.019,75.452,6.7,1.3914799999999998,24.553,5.89701,314710259510.743,9951.54415,29511.44283,933277659021.0992,1317027000000.0,9650.0,28720.0,7572.05,5652.0340000000015,15879.303999999998,2001.258,0.4,0.0,31104.646,6.08400011062622
249,Ireland,2015,1.85,81.45366,3.1,0.94485,37.462,25.11725,291092489805.942,61908.79452999999,68959.55175,324244847054.056,201667082100.0,50390.0,52990.0,1017.611,535.374,2504.345,595.095,0.2,0.2,4652.425,6.94
