,Country,Time,Happiness Score,"Fertility rate, total (births per woman)","Life expectancy at birth, total (years)","Mortality rate, infant (per 1,000 live births)",Population growth (annual %),Rural population (% of total population),GDP (current US$),GDP per capita (current US$),Population aged 14 years or younger ,Population aged 15-24 years ,Population aged 25-64 years ,Population aged 65 years or older ,"Prevalence of HIV, total (% of population ages 15-49)",Poverty headcount ratio at $1.90 a day (PPP) (% of population),Total population 
11,Canada,2017,7.31599998474121,1.4961,82.47049,4.5,1.21548,18.65,1647120175449.13,44870.77616,5829.397,4562.767,20153.331000000002,6186.6,0.0,0.0,36732.095
12,Denmark,2015,7.527,1.71,80.70244,3.6,0.7064199999999999,12.474,302673037998.602,53254.850589999995,958.1560000000001,749.049,2897.9390000000003,1083.5510000000002,0.1,0.2,5688.695
13,Denmark,2016,7.526,1.79,80.85365999999999,3.7,0.7803899999999999,12.357999999999999,311988101661.74396,54467.101429999995,947.928,747.903,2906.2340000000004,1109.2839999999999,0.1,0.0,5711.349
14,Denmark,2017,7.52199983596802,1.79,81.00488,3.7,0.64335,12.243,329865537183.471,57218.85196,945.3489999999999,741.063,2918.926,1126.9360000000001,0.1,0.0,5732.274
15,Finland,2015,7.406000000000001,1.65,81.48049,2.0,0.32938,14.775,232850788304.513,42494.65662,898.6110000000001,650.09,2822.802,1109.619,0.0,0.0,5481.121999999999
16,Finland,2016,7.412999999999999,1.57,81.42926999999999,1.9,0.28742,14.725,239009517793.721,43493.41934,897.9889999999999,643.249,2813.448,1143.027,0.0,0.0,5497.713000000001
17,Finland,2017,7.468999862670901,1.57,81.42926999999999,1.9,0.23467,14.675,252301837573.029,45804.65421,895.6619999999999,634.196,2808.762,1172.751,0.0,0.0,5511.371
18,France,2015,6.575,1.96,82.32195,3.5,0.41723999999999994,20.345,2438207896251.84,36613.37522,11828.716999999999,7546.8240000000005,32908.176,12169.483,0.5,0.0,64453.2
19,France,2016,6.478,1.92,82.52439,3.5,0.39924,20.083,2465134297438.91,36870.21913,11798.946000000002,7542.028,32856.042,12470.58,0.5,0.0,64667.596
20,France,2017,6.44199991226196,1.92,82.52439,3.5,0.36688000000000004,19.82,2582501307216.42,38484.18992,11742.866000000002,7544.275,32801.497,12753.871000000001,0.5,0.0,64842.509000000005
